hostname,interface,ip_address,proto,status
172.16.255.252,Ethernet0/0,172.16.0.1,up,up
172.16.255.252,Ethernet0/1,172.16.0.3,up,up
172.16.255.252,Ethernet0/2,172.16.0.4,up,up
172.16.255.252,Ethernet0/3,172.16.0.6,up,up
172.16.255.252,Loopback0,172.16.255.252,up,up
172.16.255.249,GigabitEthernet0/0,172.16.0.2,up,up
172.16.255.249,GigabitEthernet0/1,172.16.0.7,up,up
172.16.255.249,GigabitEthernet0/2,172.16.0.11,down,administratively down
172.16.255.249,GigabitEthernet0/3,unassigned,down,administratively down
172.16.255.249,Loopback0,172.16.255.249,up,up
